# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
hui 	回	c=91 d=1 t=735815
hui 	徽	c=21 d=1 t=485032
hui 	惠	c=1 d=1 t=516622
hui 	慧	c=10 d=1 t=610123
hui 	暉	c=1 d=1 t=501277
hui 	會	c=1936 d=1.23935 t=744748
hui 	灰	c=1 d=1 t=79492
hui 	輝	c=10 d=1 t=618045
hui ba 	會把	c=2 d=1 t=522381
hui bao 	回報	c=8 d=1 t=472296
hui bao 	彙報	c=138 d=1 t=731613
hui bao gei 	回報給	c=15 d=1 t=620143
hui bao gei 	彙報給	c=3 d=1 t=495159
hui bei 	會被	c=19 d=1 t=729274
hui bei shan chu 	會被刪除	c=1 d=1 t=351243
hui bi 	迴避	c=5 d=1 t=744350
hui bu hui 	會不會	c=37 d=1 t=742207
hui bu lai 	回不來	c=5 d=1 t=593335
hui bu qu 	回不去	c=6 d=1 t=658758
hui chang 	會場	c=1 d=1 t=152516
hui cheng 	回程	c=1 d=1 t=513643
hui cong 	慧聰	c=0 d=0.1 t=143651
hui cong fu 	慧聰服	c=1 d=1 t=143652
hui cun zai 	會存在	c=1 d=1 t=291119
hui da 	回答	c=45 d=1 t=739545
hui da guo 	回答過	c=1 d=1 t=659553
hui dao 	回到	c=29 d=1 t=734631
hui dao zhi 	會導致	c=1 d=1 t=319556
hui de lai 	回得來	c=2 d=1 t=593211
hui de lai ma 	回得來嗎	c=1 d=1 t=588033
hui diao 	回調	c=6 d=1.97045 t=716104
hui du 	灰度	c=66 d=1 t=743243
hui er 	會兒	c=9 d=1 t=560993
hui fa sheng 	會發生	c=1 d=1 t=386600
hui fang 	回放	c=23 d=1 t=716547
hui fang 	回訪	c=6 d=1 t=291980
hui fang yi xia 	回訪一下	c=1 d=1 t=279921
hui feng 	匯豐	c=1 d=1 t=525874
hui fu 	回覆	c=202 d=1.00318 t=744978
hui fu 	恢復	c=50 d=1 t=732749
hui fu dao 	恢復到	c=2 d=1 t=546306
hui fu lv 	回覆率	c=4 d=1 t=339192
hui fu lv 	恢復率	c=1 d=1 t=521493
hui fu na ge 	回覆那個	c=1 d=1 t=235063
hui fu wo 	回覆我	c=1 d=1 t=88475
hui gai cheng 	會改成	c=1 d=1 t=398050
hui gei 	會給	c=3 d=1 t=149174
hui gei ren 	會給人	c=1 d=1 t=324393
hui gou 	回購	c=9 d=1 t=634446
hui gou jie 	回购价	c=1 d=1 t=183471
hui gu 	回顧	c=28 d=1.70117 t=702890
hui gui 	回歸	c=19 d=1.96561 t=721834
hui gun 	回滾	c=37 d=1.00002 t=726604
hui gun dao 	回滾到	c=2 d=1 t=693923
hui gun lv 	回滾率	c=1 d=1 t=485723
hui guo 	回國	c=60 d=1 t=647954
hui guo lai 	回過來	c=1 d=1 t=207591
hui guo le 	回國了	c=1 d=1 t=595970
hui guo shen 	回過神	c=1 d=1 t=540784
hui hou 	會後	c=4 d=1 t=716216
hui hua 	會話	c=2 d=1 t=576660
hui huan 	迴環	c=1 d=1 t=628301
hui huang 	輝煌	c=0 d=0.1 t=310191
hui hui 	灰灰	c=1 d=1 t=210609
hui jia 	回家	c=4 d=1 t=659672
hui jing 	回京	c=1 d=1 t=190879
hui ju 	匯聚	c=1 d=1 t=718133
hui jue 	回絕	c=2 d=1 t=474257
hui kui 	回饋	c=3 d=1 t=469325
hui lai 	回來	c=147 d=1 t=740804
hui lai ba 	回來吧	c=1 d=1 t=566919
hui lai le 	回來了	c=1 d=1 t=402400
hui lao 	回撈	c=3 d=1 t=320418
hui lao jia 	回老家	c=1 d=1 t=142043
hui le 	會了	c=2 d=1 t=672262
hui lin 	慧林	c=3 d=1 t=423371
hui liu 	迴流	c=4 d=1.00659 t=129974
hui lv 	匯率	c=3 d=1 t=537544
hui qu 	回去	c=110 d=1.26982 t=744171
hui se 	灰色	c=1 d=1 t=31201
hui shang 	會上	c=11 d=1 t=716219
hui sheng 	回升	c=1 d=1 t=257879
hui shi 	回事	c=0 d=0.1 t=335928
hui shi bai 	會失敗	c=2 d=1 t=716055
hui shi er 	回事兒	c=1 d=0.1 t=376904
hui shou 	回收	c=6 d=1 t=696195
hui shuo 	會說	c=2 d=1 t=27662
hui su 	回溯	c=3 d=1 t=335280
hui tan 	回彈	c=1 d=1 t=100008
hui ti qian 	會提前	c=1 d=1 t=672410
hui tou 	回頭	c=1 d=1 t=133695
hui tui 	回退	c=7 d=1 t=701562
hui xiang qi lai 	回想起來	c=1 d=1 t=235321
hui xin 	灰心	c=1 d=1 t=502666
hui xin zhuan yi 	回心轉意	c=1 d=1 t=116053
hui xu yao 	會需要	c=1 d=1 t=8501
hui xuan 	迴旋	c=1 d=1 t=498403
hui xue xiao 	回學校	c=1 d=1 t=227400
hui ya 	會呀	c=1 d=1 t=253923
hui yi 	回憶	c=6 d=0.1 t=703540
hui yi 	會議	c=358 d=1.00681 t=742612
hui yi chong tu 	會議衝突	c=1 d=1 t=428918
hui yi hui yi 	回憶會議	c=1 d=1 t=703541
hui yi shang 	會議上	c=18 d=1 t=721101
hui yi shi 	會議室	c=96 d=1.20057 t=731003
hui yi shi dai ding 	會議室待定	c=1 d=1 t=45901
hui yin 	迴音	c=1 d=1 t=315711
hui ying 	回應	c=5 d=1 t=720959
hui ying xiang dao 	會影響到	c=1 d=1 t=675472
hui yong 	會用	c=4 d=1 t=628822
hui you 	會有	c=182 d=1 t=744559
hui you ge 	會有個	c=1 d=1 t=540220
hui you ren 	會有人	c=4 d=1 t=219889
hui you suo 	會有所	c=1 d=1 t=488026
hui you zhe ge 	會有這個	c=1 d=1 t=369306
hui yu dao 	會遇到	c=1 d=1 t=395367
hui yuan 	會員	c=7 d=1 t=197521
hui zai 	會在	c=3 d=1 t=534288
hui zhi 	繪製	c=6 d=1.84789 t=438313
hui zhi chi 	會支持	c=1 d=1 t=434730
hui zong 	彙總	c=52 d=1 t=744819
hui zong ba 	彙總吧	c=1 d=1 t=704757
hui zong dao 	彙總到	c=6 d=1 t=509728
hui zong yi xia 	彙總一下	c=1 d=1 t=492148
hui zou 	會走	c=1 d=1 t=231141
hui zun qin 	會尊親	c=1 d=1 t=62164
hui zuo 	會做	c=1 d=1 t=290141
hun 	婚	c=2 d=1 t=347569
hun 	混	c=2 d=1 t=719958
hun dao 	混到	c=6 d=1 t=647774
hun dong 	混動	c=1 d=1 t=380463
hun dun 	混沌	c=13 d=1 t=742446
hun en 	混恩	c=1 d=1 t=25523
hun guan 	混管	c=1 d=1 t=692041
hun he 	混合	c=10 d=1 t=722536
hun he dao 	混合到	c=1 d=1 t=676186
hun he yun 	混合雲	c=1 d=1 t=562359
hun jin lai 	混進來	c=1 d=1 t=567526
hun luan 	混亂	c=19 d=1 t=661060
hun shui 	混水	c=1 d=1 t=667624
hun tun 	餛飩	c=1 d=1 t=635117
hun wei 	混爲	c=1 d=1 t=578731
hun wei yi tan 	混爲一談	c=1 d=1 t=78848
hun xiao 	混淆	c=5 d=1 t=677102
hun yong 	混用	c=12 d=1 t=705999
hun yu 	婚育	c=1 d=1 t=376119
hun zai 	混在	c=2 d=1 t=537367
hun zhe 	混着	c=2 d=1 t=527692
huo 	伙	c=1 d=1 t=143283
huo 	或	c=0 d=0.1 t=449597
huo 	活	c=9 d=1 t=643286
huo 	火	c=41 d=1 t=730657
huo 	獲	c=1 d=1 t=234852
huo 	貨	c=4 d=2.93143 t=682422
huo ban 	夥伴	c=5 d=1 t=521355
huo bao 	火爆	c=1 d=1 t=362575
huo bi 	貨幣	c=5 d=0.100001 t=734802
huo che 	火車	c=94 d=1.96079 t=739483
huo che piao 	火車票	c=4 d=1 t=245586
huo che tou 	火車頭	c=1 d=1 t=644403
huo che zhan 	火車站	c=4 d=1 t=627998
huo de 	獲得	c=6 d=1 t=707811
huo dong 	活動	c=221 d=1.24757 t=670177
huo dong chang jing 	活動場景	c=1 d=1 t=221675
huo dong li mian 	活動裏面	c=1 d=1 t=306090
huo dong qu xiao 	活動取消	c=1 d=1 t=358882
huo dong ri 	活動日	c=10 d=1 t=439716
huo dong ye 	活动页	c=1 d=1 t=408490
huo dong ye mian 	活動頁面	c=1 d=1 t=113829
huo dong zhi chi 	活動支持	c=1 d=1 t=160583
huo dong zhong 	活動中	c=1 d=1 t=572256
huo duo 	或多	c=2 d=1 t=246994
huo guo 	火鍋	c=3 d=1 t=497637
huo guo qun 	火鍋羣	c=1 d=1 t=150941
huo hai 	禍害	c=1 d=1 t=584638
huo he ze 	或菏澤	c=1 d=1 t=449598
huo hou 	火候	c=1 d=1 t=190353
huo hu 	火胡	c=1 d=1 t=546583
huo hua shi 	活化石	c=1 d=1 t=496503
huo huo 	活活	c=0 d=0.1 t=483177
huo huo e si 	活活餓死	c=1 d=1 t=483178
huo ji 	夥計	c=1 d=1 t=680451
huo jian 	火箭	c=1 d=1.09851 t=159348
huo jiang 	獲獎	c=3 d=1 t=348183
huo ju 	火炬	c=1 d=1 t=394740
huo lai 	或來	c=1 d=1 t=592671
huo le 	火了	c=3 d=1 t=287222
huo li 	活力	c=2 d=1 t=431138
huo li 	火力	c=2 d=1 t=327108
huo li 	獲利	c=2 d=1 t=338048
huo mian 	豁免	c=1 d=1 t=299184
huo qi 	火氣	c=4 d=1 t=360133
huo qi lai 	活起來	c=1 d=1 t=281198
huo qu 	獲取	c=57 d=1.01128 t=742058
huo qu dao 	獲取到	c=15 d=1 t=722285
huo que 	或缺	c=1 d=1 t=273711
huo ren 	夥人	c=1 d=1 t=510945
huo sha 	火傻	c=7 d=1 t=678904
huo shan 	火山	c=233 d=1 t=738481
huo shan na bian 	火山那邊	c=1 d=1 t=288613
huo shan yin qing 	火山引擎	c=1 d=1 t=247626
huo shao 	或少	c=1 d=1 t=246995
huo shao mei mao 	火燒眉毛	c=1 d=1 t=279053
huo sheng 	獲勝	c=1 d=1 t=17618
huo shi 	伙食	c=1 d=1 t=732845
huo shui 	活水	c=8 d=1 t=584584
huo tong 	夥同	c=1 d=1 t=513967
huo xing 	活性	c=1 d=1.099 t=678608
huo xing 	火星	c=8 d=1.78277 t=678660
huo xing he 	活性和	c=1 d=1 t=678607
huo xing ri li 	火星日曆	c=1 d=1 t=534823
huo xing shi jian 	火星時間	c=1 d=1 t=505875
huo xu 	或許	c=22 d=1 t=727822
huo xue 	活血	c=3 d=1 t=515093
huo yan 	火焰	c=1 d=1 t=576555
huo yao wei 	火藥味	c=2 d=1 t=210974
huo ye 	活頁	c=1 d=1 t=180080
huo yong 	活用	c=1 d=1 t=551146
huo yu 	活魚	c=1 d=1 t=22097
huo yue 	活躍	c=150 d=1 t=714818
huo yue cheng du 	活躍程度	c=1 d=1 t=607385
huo yue du 	活躍度	c=1 d=1 t=56733
huo yun 	貨運	c=2 d=1.5599 t=271602
huo zai 	火災	c=2 d=1.92774 t=670478
huo zhao 	活着	c=1 d=1 t=623674
huo zhe 	或者	c=1335 d=1.98776 t=745318
huo zhe 	活着	c=1 d=1 t=733555
huo zhe eh 	或者誒	c=1 d=1 t=742826
huo zhe na 	或者那	c=1 d=1 t=133866
huo zhe shuo 	或者說	c=25 d=1.00003 t=713272
huo zhong 	火種	c=1 d=1 t=249449
huo zhong ping tai 	或中平臺	c=1 d=1 t=249448
ji 	冀	c=1 d=1 t=547932
ji 	即	c=1 d=1 t=627157
ji 	及	c=0 d=0.1 t=384319
ji 	吉	c=31 d=1 t=356581
ji 	基	c=43 d=0.1 t=694025
ji 	幾	c=15 d=0.1 t=725369
ji 	既	c=3 d=0.874916 t=627109
ji 	機	c=0 d=0.1 t=327710
ji 	集	c=1 d=1 t=501967
ji bai 	幾百	c=5 d=1 t=723209
ji bai ge 	幾百個	c=7 d=1 t=716501
ji bai ge ren 	幾百個人	c=1 d=1 t=301590
ji bai nian 	幾百年	c=1 d=1 t=513632
ji bai qi 	幾百起	c=1 d=1 t=556924
ji bai ren 	幾百人	c=0 d=0.1 t=144544
ji bai tai 	幾百臺	c=2 d=1 t=53550
ji bei 	幾倍	c=1 d=1 t=574328
ji bei er shi 	基貝爾是	c=1 d=1 t=694026
ji ben 	基本	c=156 d=1.03143 t=745030
ji ben 	幾本	c=1 d=1 t=222341
ji ben dian 	基本點	c=3 d=1 t=581085
ji ben gong 	基本功	c=1 d=1 t=516802
ji ben pan 	基本盤	c=1 d=1 t=675220
ji ben shang 	基本上	c=128 d=1.01384 t=744422
ji ben shang pan dian 	基本上盤點	c=1 d=1 t=626277
ji bi 	幾筆	c=1 d=1 t=574629
ji bi 	擊斃	c=1 d=1 t=352865
ji bian 	即便	c=99 d=1 t=745374
ji bian 	幾遍	c=35 d=1 t=731999
ji bian shi 	即便是	c=5 d=1 t=713096
ji bian you 	即便有	c=2 d=1 t=604868
ji bie 	級別	c=200 d=1 t=732832
ji bing 	疾病	c=3 d=1 t=670432
ji ceng 	基層	c=2 d=1 t=691515
ji ceng 	幾層	c=4 d=1 t=691514
ji chang 	機場	c=9 d=1 t=736900
ji cheng 	即成	c=1 d=1 t=100165
ji cheng 	繼承	c=3 d=1 t=666657
ji cheng 	集成	c=147 d=1 t=730317
ji cheng dao 	集成到	c=7 d=1.57121 t=710355
ji cheng hao 	集成好	c=1 d=1 t=611119
ji cheng shi shi 	既成事實	c=1 d=1 t=731445
ji chong 	急衝	c=0 d=0.1 t=676296
ji chong zai 	急衝在	c=1 d=1 t=676297
ji chu 	基礎	c=489 d=1.00052 t=731733
ji chu 	寄出	c=0 d=0.1 t=505568
ji chu ce 	基礎側	c=1 d=1 t=490312
ji chu fu wu 	基礎服務	c=1 d=1 t=605570
ji chu gong cheng 	基礎工程	c=1 d=1 t=35720
ji chu ke 	基礎課	c=27 d=1 t=712616
ji chu ku 	基礎庫	c=13 d=1 t=727849
ji chu lai 	寄出來	c=1 d=1 t=505569
ji chu lai 	擠出來	c=1 d=1 t=637523
ji chu lei 	基礎類	c=1 d=1 t=641342
ji chu qu 	寄出去	c=4 d=1 t=613645
ji chu shang 	基礎上	c=41 d=1 t=743776
ji chu she shi 	基礎設施	c=9 d=1 t=610581
ji chu sheng tai 	基礎生態	c=1 d=1 t=449043
ji chu ye 	基礎也	c=1 d=1 t=42331
ji chu zu jian 	基礎組件	c=1 d=1 t=421624
ji ci 	幾次	c=41 d=1 t=731452
ji ci ne ge 	幾次呢個	c=1 d=1 t=691513
ji cu 	急促	c=1 d=1 t=552959
ji cuo 	記錯	c=24 d=1 t=735770
ji da 	極大	c=3 d=1 t=306565
ji dan 	雞蛋	c=3 d=1 t=612128
ji dao 	寄到	c=4 d=1 t=604329
ji dao 	幾道	c=1 d=1 t=537618
ji de 	記得	c=332 d=1.00053 t=741295
ji de fa 	記得發	c=1 d=1 t=636366
ji de le 	記得了	c=1 d=1 t=48494
ji di 	基地	c=1 d=1 t=280483
ji dian 	幾點	c=53 d=1.90484 t=739322
ji dian 	積澱	c=1 d=1 t=199880
ji dian dao 	幾點到	c=1 d=1 t=143056
ji dian er 	幾點兒	c=1 d=1 t=636745
ji dian he he si 	幾點呵呵死	c=1 d=1 t=379501
ji dian zhong 	幾點鐘	c=1 d=1 t=375769
ji ding 	既定	c=1 d=1 t=294282
ji ding he 	機頂盒	c=1 d=1 t=79503
ji dong 	幾棟	c=3 d=1 t=112455
ji dong 	機動	c=1 d=1 t=307106
ji dong 	激動	c=7 d=1 t=731300
ji dong che 	機動車	c=1 d=1 t=547925
ji du 	嫉妒	c=1 d=1 t=714901
ji du 	季度	c=28 d=1.95123 t=723254
ji du hui 	季度會	c=2 d=1.04929 t=713898
ji duan 	極端	c=23 d=1 t=722959
ji dui 	擠兌	c=1 d=1 t=666403
ji eh sao 	及誒掃	c=3 d=1 t=737326
ji eh su 	及誒素	c=3 d=1.99501 t=520594
ji ei dan 	及誒但	c=1 d=1 t=327679
ji en jian 	機恩健	c=5 d=1 t=549573
ji fa 	激發	c=3 d=1 t=742763
ji fang 	機房	c=55 d=1.58188 t=718134
ji fang mian 	幾方面	c=2 d=1 t=737566
ji fei 	計費	c=96 d=1 t=669336
ji fei en 	計費恩	c=1 d=1 t=259298
ji fei gou tiao 	雞飛狗跳	c=1 d=1 t=567904
ji fen 	幾份	c=0 d=0.1 t=571244
ji fen 	幾分	c=2 d=1 t=144964
ji fen 	積分	c=5 d=1 t=713836
ji fen er 	幾份兒	c=1 d=1 t=571245
ji fen zhong 	幾分鐘	c=93 d=1.96865 t=731695
ji fen zong 	幾分總	c=1 d=1 t=85732
ji gao 	極高	c=1 d=1 t=111898
ji ge 	及格	c=1 d=1 t=209789
ji ge 	幾個	c=587 d=1.53039 t=740173
ji ge re 	幾個熱	c=2 d=1.98511 t=534864
ji ge ren 	幾個人	c=34 d=1 t=734334
ji ge xian 	及格線	c=2 d=1 t=630931
ji ge xuan xiang 	幾個選項	c=1 d=1 t=10512
ji ge ye mian 	幾個頁面	c=1 d=1 t=680734
ji ge yue 	幾個月	c=23 d=1.00055 t=743151
ji ge zi 	幾個字	c=2 d=1 t=628047
ji gei 	寄給	c=10 d=1 t=613636
ji gou 	機構	c=12 d=4.26318 t=591114
ji guan 	機關	c=1 d=1 t=623657
ji guan 	籍貫	c=4 d=1 t=281553
ji guang 	極光	c=1 d=1 t=107327
ji guo lai 	寄過來	c=2 d=1 t=370332
ji guo qu 	寄過去	c=5 d=1 t=525120
ji ha 	幾哈	c=2 d=1 t=737960
ji hao 	幾號	c=6 d=1 t=625080
ji he 	幾何	c=2 d=1 t=670115
ji he 	集合	c=27 d=1 t=688825
ji hu 	幾乎	c=5 d=1 t=422562
ji hua 	激化	c=1 d=1 t=443077
ji hua 	計劃	c=540 d=1 t=744087
ji hua chu lai 	計劃出來	c=1 d=1 t=405249
ji hua sheng yu 	計劃生育	c=1 d=1 t=483097
ji hua shu 	計劃書	c=2 d=1 t=445845
ji hua yao 	計劃要	c=1 d=1 t=55131
ji hua zhong 	計劃中	c=7 d=1 t=463675
ji hua zong 	計劃總	c=1 d=1 t=666801
ji huai 	急壞	c=3 d=1.98511 t=422618
ji hui 	機會	c=292 d=1 t=737999
ji huo 	激活	c=4 d=1 t=584608
ji ji 	積極	c=90 d=1 t=721041
ji ji can yu 	積極參與	c=1 d=1 t=488517
ji ji wai wai 	唧唧歪歪	c=1 d=1 t=148685
ji ji xing 	積極性	c=5 d=1 t=484524
ji ji zhu dong 	積極主動	c=3 d=1 t=726766
ji jia 	幾架	c=1 d=1 t=250373
ji jia 	機架	c=8 d=1 t=597415
ji jia 	計價	c=1 d=1 t=336518
ji jian 	基建	c=166 d=1 t=676919
ji jian 	幾件	c=4 d=1 t=440639
ji jian 	擊劍	c=2 d=1.99501 t=174802
ji jian shi 	幾件事	c=1 d=1 t=195817
ji jiang 	即將	c=2 d=1 t=435674
ji jiao 	計較	c=1 d=1 t=174651
ji jie 	季節	c=1 d=1 t=10800
ji jie xing 	季節性	c=1 d=1 t=603714
ji jin 	基金	c=9 d=1 t=708386
ji jin 	激進	c=35 d=1 t=701446
ji jin e 	及金額	c=5 d=1 t=711410
ji ju 	幾句	c=10 d=1 t=676875
ji ju hua 	幾句話	c=4 d=1 t=622247
ji ke 	即可	c=86 d=1 t=741736
ji ke yi 	既可以	c=1 d=1 t=181056
ji kong 	疾控	c=3 d=1 t=562737
ji kuai qian 	幾塊錢	c=1 d=1 t=356672
ji kuan 	幾款	c=2 d=1 t=693695
ji le 	寄了	c=1 d=1 t=432515
ji lei 	積累	c=108 d=1.00775 t=684986
ji lei 	雞肋	c=1 d=1 t=303140
ji lei bu gou 	積累不夠	c=1 d=1 t=456378
ji li 	極力	c=1 d=1 t=583606
ji li 	激勵	c=52 d=1 t=725191
ji li cuo shi 	激勵措施	c=1 d=1 t=607738
ji lian 	級聯	c=2 d=1 t=633967
ji lie 	激烈	c=10 d=1 t=497326
ji lin 	吉林	c=1 d=1 t=446631
ji long po 	吉隆坡	c=1 d=1 t=225220
ji lou 	幾樓	c=3 d=1 t=729241
ji lu 	記錄	c=465 d=1.45609 t=745068
ji lu ma 	記錄嗎	c=1 d=1 t=159361
ji lu yi xia 	記錄一下	c=1 d=1 t=724892
ji lun 	幾輪	c=11 d=1 t=644049
ji lv 	几率	c=1 d=1 t=186272
ji lv 	機率	c=1 d=1 t=186271
ji mi 	機密	c=2 d=1 t=603199
ji miao 	幾秒	c=1 d=1 t=744720
ji miao zhong 	幾秒鐘	c=1 d=1 t=674161
ji ming 	吉明	c=167 d=1.99501 t=534352
ji mo 	寂寞	c=1 d=1 t=582063
ji mu 	積木	c=3 d=1 t=228877
ji na li 	及哪裏	c=5 d=1 t=706776
ji neng 	技能	c=31 d=1 t=554458
ji nian 	幾年	c=54 d=1 t=741989
ji nian 	紀念	c=12 d=1 t=741988
ji nian de 	幾年的	c=1 d=1 t=594933
ji nian qian 	幾年前	c=3 d=1 t=466891
ji nian ri 	紀念日	c=1 d=1 t=90527
ji ou 	奇偶	c=0 d=0.1 t=20587
ji ou gong neng 	奇偶功能	c=1 d=1 t=20588
ji ou guan 	機歐冠	c=1 d=1 t=88787
ji pi 	雞皮	c=1 d=1 t=241978
ji pian 	幾篇	c=3 d=1.02107 t=562866
ji piao 	機票	c=37 d=1 t=657415
ji po 	急迫	c=15 d=1 t=650785
ji qi 	及其	c=16 d=1 t=546188
ji qi 	幾期	c=1 d=1 t=106343
ji qi 	機器	c=123 d=1.96561 t=738231
ji qi fang 	機器方	c=1 d=1 t=69294
ji qi gou 	機器狗	c=1 d=1 t=103723
ji qi ma 	機器碼	c=1 d=1 t=469202
ji qi ren 	機器人	c=46 d=2.72447 t=741817
ji qi shang 	機器上	c=2 d=1 t=454527
ji qian 	幾千	c=5 d=1 t=717959
ji qian ge 	幾千個	c=5 d=1 t=485548
ji qian ren 	幾千人	c=2 d=1 t=431175
ji qian wan 	幾千萬	c=2 d=1 t=320800
ji qiao 	技巧	c=8 d=1 t=724882
ji qing 	激情	c=2 d=1 t=367730
ji qu 	汲取	c=2 d=1 t=587148
ji qun 	集羣	c=34 d=1.05967 t=645185
ji ran 	既然	c=28 d=1 t=741391
ji ran a 	既然啊	c=1 d=1 t=185059
ji ran shi 	既然是	c=1 d=1 t=653350
ji rou 	肌肉	c=1 d=1 t=735508
ji ru 	計入	c=2 d=1 t=271608
ji shao 	極少	c=2 d=1 t=157840
ji shi 	即時	c=1 d=1 t=309200
ji shi 	及時	c=87 d=1 t=739426
ji shi 	基石	c=2 d=1 t=594346
ji shi 	幾十	c=4 d=1 t=722613
ji shi 	既是	c=1 d=1 t=221436
ji shi 	計時	c=2 d=1 t=401509
ji shi fa xian 	及時發現	c=1 d=1 t=568880
ji shi fan kui 	及時反饋	c=1 d=1 t=445783
ji shi ge 	幾十個	c=9 d=1 t=574416
ji shi nian 	幾十年	c=1 d=1 t=605157
ji shi tong xin 	即時通信	c=1 d=1 t=340591
ji shi wan 	幾十萬	c=2 d=1 t=569192
ji shi yi 	幾十億	c=1 d=1 t=430443
ji shou 	棘手	c=0 d=0.1 t=108128
ji shu 	基數	c=11 d=1 t=721656
ji shu 	技術	c=1714 d=1.34829 t=744214
ji shu 	計數	c=2 d=1 t=425940
ji shu bu 	技術部	c=3 d=1 t=606212
ji shu ce 	技術側	c=7 d=1 t=697605
ji shu di zuo 	技術底座	c=1 d=1 t=599400
ji shu fang an 	技術方案	c=5 d=1 t=681384
ji shu fang mian 	技術方面	c=2 d=1 t=676279
ji shu fu zhai 	技術負債	c=1 d=1 t=572035
ji shu gai jin 	技術改進	c=1 d=1 t=387784
ji shu gong zuo 	技術工作	c=1 d=1 t=632926
ji shu gui hua 	技術規劃	c=1 d=1 t=41289
ji shu ji lei 	技術積累	c=1 d=1 t=53797
ji shu lei 	技術類	c=2 d=1 t=711521
ji shu mian 	技術面	c=2 d=1 t=704816
ji shu neng li 	技術能力	c=2 d=1 t=149998
ji shu qi 	計數器	c=3 d=1 t=555364
ji shu ru he 	技術如何	c=1 d=1 t=150865
ji shu sang 	技術桑	c=1 d=1 t=219486
ji shu shang 	技術上	c=21 d=1 t=729969
ji shu shang bing wu 	技術上並無	c=1 d=1 t=83503
ji shu she qu 	技術社區	c=1 d=1 t=596115
ji shu xing 	技術性	c=2 d=1 t=75947
ji shu xue yuan 	技術學院	c=1 d=1 t=27344
ji shu zhan 	技術棧	c=103 d=1 t=679911
ji shu zhan 	技術站	c=2 d=1 t=20719
ji shu zhi biao 	技術指標	c=1 d=1 t=676396
ji shu zhong tai 	技術中臺	c=1 d=1 t=156048
ji shu zu 	技術組	c=3 d=1 t=335162
ji shui 	積水	c=1 d=1 t=15999
ji shun 	吉順	c=2 d=1 t=470351
ji shuo 	基說	c=2 d=1.99501 t=529472
ji si guang yi 	集思廣益	c=2 d=1.98511 t=96942
ji song 	寄送	c=12 d=1 t=343456
ji su 	極速	c=8 d=1.94649 t=718288
ji su 	激素	c=0 d=0.1 t=72472
ji su a ji 	激素啊機	c=1 d=1 t=72473
ji su he 	激素和	c=2 d=1 t=386075
ji suan 	計算	c=136 d=1 t=743404
ji suan chu lai 	計算出來	c=2 d=1 t=178911
ji suan hao 	計算好	c=1 d=1 t=441591
ji suan he 	計算和	c=1 d=1 t=538438
ji suan ji 	計算機	c=49 d=1 t=713776
ji suan ma 	計算嗎	c=1 d=1 t=687132
ji suan qi 	計算器	c=3 d=1.00169 t=450276
ji suan zi yuan 	計算資源	c=1 d=1 t=26469
ji sui 	幾歲	c=1 d=1 t=179040
ji tang 	雞湯	c=1 d=1 t=123401
ji tao 	幾套	c=2 d=1 t=694238
ji ti 	集體	c=2 d=1 t=666474
ji tian 	幾天	c=82 d=0.1 t=705379
ji tian nei 	幾天內	c=8 d=1 t=506829
ji tiao 	幾條	c=3 d=1 t=682236
ji tuan 	集團	c=31 d=1.85001 t=676340
ji tuan de 	集團的	c=4 d=1 t=676357
ji tui 	雞腿	c=1 d=1 t=670456
ji wan 	幾萬	c=1 d=1 t=363839
ji wan ge 	幾萬個	c=1 d=1 t=481400
ji wei 	幾位	c=3 d=1 t=589498
ji xi 	雞西	c=3 d=1 t=610387
ji xi tong 	及系統	c=1 d=1 t=273834
ji xia 	幾下	c=0 d=0.1 t=217963
ji xia 	記下	c=4 d=1 t=669046
ji xia lai 	記下來	c=3 d=1 t=530843
ji xia pao 	幾下跑	c=1 d=1 t=217964
ji xian 	極限	c=1 d=1 t=160671
ji xiang hu 	及相互	c=1 d=1 t=161544
ji xiao 	績效	c=574 d=1 t=741858
ji xiao ao 	績效奧	c=2 d=1 t=252007
ji xiao de 	績效的	c=1 d=1 t=608211
ji xiao jie guo 	績效結果	c=1 d=1 t=620016
ji xiao ping gu 	績效評估	c=2 d=1 t=575577
ji xiao zhou qi 	績效週期	c=1 d=1 t=695444
ji xing 	機型	c=5 d=1 t=589542
ji xing 	記性	c=2 d=1 t=584573
ji xu 	急需	c=4 d=1 t=571537
ji xu 	繼續	c=731 d=3.05942 t=743552
ji xu gao 	繼續搞	c=2 d=1 t=474638
ji xu jiang 	繼續講	c=1 d=1 t=678725
ji xu ma 	繼續嗎	c=1 d=1 t=462863
ji xu yan chang 	繼續延長	c=1 d=1 t=673785
ji xu yong 	繼續用	c=1 d=1 t=196423
ji ya 	擠壓	c=1 d=1 t=510939
ji ya 	積壓	c=2 d=1 t=464835
ji yao 	紀要	c=24 d=1 t=594424
ji ye 	幾頁	c=1 d=1 t=271939
ji yi 	技藝	c=1 d=1 t=742011
ji yi 	記憶	c=3 d=1.96079 t=742020
ji yi bu 	记忆布	c=1 d=1 t=529383
ji yi lu 	記憶路	c=1 d=1 t=312771
ji yong 	即用	c=2 d=1 t=368526
ji you 	機油	c=1 d=1 t=468846
ji yu 	基於	c=499 d=1 t=744536
